data_hora;semana_do_ano;semana_ano;mes;mes_ano;bimestre;bimestre_ano;trimestre;trimestre_ano;ano;latitude;longitude;geometry;tipo_dado;cluster_label
2025-01-07 03:19:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.967514667372807;-43.96641065269106;POINT (-43.9664159 -19.9675122);teste;-2
2025-01-07 03:19:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.888662119350766;-43.9693865802615;POINT (-43.96940248 -19.88865801);teste;-2
2025-01-07 03:31:05;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.97096260137068;-43.97379593631091;POINT (-43.973782 -19.9709618);teste;-2
2025-01-07 03:31:05;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.888656079778674;-43.96941692070175;POINT (-43.96940248 -19.88865801);teste;-2
2025-01-07 03:52:05;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.917662508251265;-44.02000233794687;POINT (-44.020005 -19.9176522);teste;-2
2025-01-07 03:52:05;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.817733228714943;-44.00105235200086;POINT (-44.00104903 -19.81772758);teste;-2
2025-01-07 04:30:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.97141578032074;-43.96600045894228;POINT (-43.9660017 -19.9714096);teste;-2
2025-01-07 04:30:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.817719127196952;-44.001049267893144;POINT (-44.00104903 -19.81772758);teste;-2
2025-01-07 04:39:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.91191324962568;-43.93412373990632;POINT (-43.93412996 -19.91190439);teste;-2
2025-01-07 04:39:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.90460285767858;-43.9323872616343;POINT (-43.9323844 -19.9045853);teste;-2
2025-01-07 04:51:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.91192406094563;-43.9341420421179;POINT (-43.93412996 -19.91190439);teste;-2
2025-01-07 04:51:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.917666903801347;-44.02001289853961;POINT (-44.020005 -19.9176522);teste;-2
2025-01-07 05:07:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.897409054617974;-43.95870359451655;POINT (-43.95870199 -19.89742267);teste;-2
2025-01-07 05:18:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.891288677934007;-44.007424609704685;POINT (-44.00741206 -19.89128884);teste;-2
2025-01-07 05:18:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.970956787509135;-43.97378236853907;POINT (-43.973782 -19.9709618);teste;-2
2025-01-07 10:57:39;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.91355403512273;-43.91120929245344;POINT (-43.9112099 -19.9135594);teste;-2
2025-01-07 11:06:11;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.91210333816082;-43.911962778036;POINT (-43.9119592 -19.9121039);teste;-2
2025-01-07 11:12:42;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.913560147812966;-43.911207807778666;POINT (-43.9112099 -19.9135594);teste;-2
